FSTANF,FSWAGES,RAWNET,WRK_POOR,REALPROP,FSSLTDED,FSASSET,FSEARN,FSSSI,HWGT,FSNONCIT,TPOV,FSERNDED,FSUNEARN,FSGA,TANF_IND,FSTOTDED,FSGRINC,FSNELDER,FSUSIZE,LIQRESOR,FSNETINC,FSSLTDE2,RAWERND,FSTOTDE2,FSSTDDE2,FSDIS,SHELDED,CERTHHSZ,FSERNDE2,CAT_ELIG,FSVEHAST,VEHICLEA
294.0,0.0,714.0,0.0,0.0,250.0,0.0,0.0,523.0,1029.4897706171243,1.0,46.0,0.0,1150.0,0.0,1.0,436.0,1150.0,0.0,7.0,0.0,714.0,250.0,0.0,436.0,279.0,1.0,250.0,7.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,9.0,0.0,100.0,0.0,0.0,134.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
0.0,0.0,151.0,0.0,0.0,337.0,2.0,0.0,25.0,761.6452408870326,0.0,76.0,0.0,623.0,0.0,0.0,471.0,623.0,0.0,1.0,2.0,152.0,337.0,0.0,471.0,201.0,1.0,337.0,1.0,0.0,1.0,0.0,1.0
326.0,1231.0,647.0,1.0,0.0,417.0,0.0,1231.0,0.0,958.3204150285828,0.0,80.0,246.0,326.0,0.0,1.0,910.0,1557.0,0.0,5.0,0.0,647.0,417.0,246.0,910.0,162.0,0.0,417.0,5.0,274.0,1.0,0.0,1.0
231.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,711.655694960853,0.0,28.0,0.0,231.0,0.0,1.0,551.0,231.0,0.0,1.0,0.0,0.0,97.0,0.0,231.0,0.0,0.0,417.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,28.0,0.0,231.0,231.0,0.0,134.0,231.0,0.0,1.0,0.0,97.0,0.0,0.0,134.0,134.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,1296.0,900.0,1.0,0.0,0.0,0.0,1296.0,0.0,1011.3041718713245,0.0,78.0,259.0,0.0,0.0,0.0,398.0,1296.0,0.0,4.0,0.0,898.0,0.0,260.0,398.0,139.0,0.0,0.0,4.0,259.0,0.0,0.0,1.0
0.0,0.0,268.0,0.0,0.0,349.0,0.0,0.0,0.0,798.594035706463,0.0,92.0,0.0,750.0,0.0,0.0,483.0,750.0,0.0,1.0,0.0,267.0,349.0,0.0,483.0,201.0,0.0,348.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,405.0,0.0,0.0,64.0,0.0,0.0,603.0,844.2366646014949,0.0,74.0,0.0,603.0,0.0,0.0,198.0,603.0,1.0,1.0,0.0,405.0,64.0,0.0,198.0,198.0,0.0,65.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,303.0,0.0,0.0,165.0,948.0,0.0,603.0,810.5480575611468,0.0,74.0,0.0,603.0,0.0,0.0,299.0,603.0,0.0,1.0,948.0,304.0,165.0,0.0,299.0,201.0,1.0,165.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
389.0,0.0,150.0,0.0,0.0,104.0,0.0,0.0,0.0,754.3041129423528,0.0,35.0,0.0,389.0,0.0,1.0,238.0,389.0,0.0,2.0,0.0,151.0,104.0,0.0,238.0,201.0,0.0,104.0,2.0,0.0,1.0,0.0,1.0
0.0,1290.0,807.0,1.0,0.0,85.0,403.0,1290.0,0.0,981.9624818750046,0.0,77.0,258.0,0.0,0.0,0.0,482.0,1290.0,0.0,4.0,403.0,808.0,85.0,258.0,482.0,208.0,0.0,85.0,4.0,343.0,0.0,0.0,1.0
0.0,1113.0,495.0,1.0,0.0,417.0,0.0,1113.0,0.0,866.5032035168679,0.0,92.0,222.0,155.0,0.0,0.0,773.0,1268.0,0.0,3.0,0.0,495.0,417.0,223.0,773.0,142.0,0.0,417.0,3.0,274.0,0.0,0.0,1.0
0.0,812.0,0.0,1.0,0.0,417.0,0.0,812.0,0.0,711.655694960853,0.0,99.0,162.0,0.0,0.0,0.0,842.0,812.0,0.0,1.0,0.0,0.0,387.0,162.0,812.0,170.0,0.0,417.0,1.0,212.0,0.0,0.0,1.0
0.0,589.0,547.0,1.0,0.0,228.0,0.0,589.0,95.0,869.2314375616089,0.0,127.0,117.0,452.0,0.0,0.0,492.0,1041.0,0.0,1.0,0.0,549.0,228.0,118.0,492.0,201.0,1.0,229.0,1.0,175.0,1.0,0.0,1.0
389.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,788.258696840136,0.0,28.0,0.0,389.0,0.0,1.0,134.0,389.0,0.0,3.0,0.0,255.0,0.0,0.0,134.0,134.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,852.0,125.0,1.0,0.0,417.0,0.0,852.0,0.0,760.2697129613572,2.0,51.0,170.0,0.0,0.0,0.0,726.0,852.0,0.0,4.0,0.0,126.0,417.0,170.0,726.0,139.0,0.0,417.0,4.0,170.0,0.0,0.0,1.0
120.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,704.5805438707989,0.0,12.0,0.0,170.0,0.0,1.0,611.0,170.0,0.0,3.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,417.0,3.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,747.4949387192787,0.0,0.0,0.0,0.0,0.0,0.0,579.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,5.0,0.0,0.0,0.0,1.0
114.0,516.0,278.0,1.0,0.0,114.0,0.0,516.0,0.0,796.6865540457782,0.0,57.0,103.0,114.0,0.0,1.0,351.0,630.0,0.0,2.0,0.0,279.0,114.0,103.0,351.0,201.0,0.0,115.0,2.0,154.0,1.0,0.0,1.0
0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,28.0,0.0,231.0,231.0,0.0,134.0,231.0,0.0,1.0,0.0,97.0,0.0,0.0,134.0,134.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
310.0,916.0,573.0,1.0,0.0,163.0,0.0,916.0,0.0,892.3187288676908,0.0,111.0,183.0,310.0,0.0,1.0,652.0,1226.0,0.0,2.0,0.0,574.0,163.0,183.0,652.0,201.0,0.0,164.0,2.0,274.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,705.4012962642042,0.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,2.0,0.0,0.0,0.0,1.0
0.0,1015.0,678.0,1.0,0.0,0.0,0.0,1015.0,0.0,926.0073359137072,0.0,92.0,203.0,0.0,0.0,0.0,337.0,1015.0,0.0,2.0,0.0,678.0,0.0,203.0,337.0,134.0,0.0,0.0,2.0,203.0,0.0,0.0,1.0
0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,28.0,0.0,231.0,231.0,0.0,134.0,231.0,0.0,1.0,0.0,97.0,0.0,0.0,134.0,134.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,380.0,0.0,0.0,114.0,0.0,0.0,427.0,835.5428305209961,0.0,77.0,0.0,628.0,0.0,0.0,248.0,628.0,1.0,1.0,0.0,380.0,114.0,0.0,248.0,201.0,0.0,114.0,1.0,0.0,1.0,0.0,1.0
389.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,704.5805438707989,0.0,28.0,0.0,389.0,0.0,1.0,456.0,389.0,0.0,3.0,0.0,0.0,255.0,0.0,389.0,134.0,0.0,322.0,3.0,0.0,1.0,0.0,1.0
0.0,0.0,308.0,0.0,0.0,52.0,0.0,0.0,0.0,818.9530929645381,0.0,30.0,0.0,499.0,0.0,0.0,191.0,499.0,0.0,4.0,0.0,308.0,52.0,0.0,191.0,191.0,1.0,52.0,4.0,0.0,0.0,0.0,1.0
0.0,0.0,246.0,0.0,0.0,256.0,55.0,0.0,0.0,792.0736601413167,0.0,78.0,0.0,636.0,0.0,0.0,390.0,636.0,0.0,1.0,55.0,246.0,256.0,0.0,390.0,201.0,1.0,256.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,308.0,0.0,0.0,417.0,0.0,0.0,0.0,804.5596357299704,0.0,66.0,0.0,915.0,0.0,0.0,607.0,915.0,0.0,3.0,0.0,308.0,417.0,0.0,607.0,134.0,0.0,417.0,3.0,0.0,0.0,0.0,1.0
